text,true_emotion,predicted_emotion
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,sadness
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
Hate when guys cant control their anger 🙃🙃,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
@DJ_JeanFranko growl!!!,anger,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,sadness
#oow16 #sting decent new song,anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
Eat my ass' is no longer an insult,anger,anger
"Realest ever, relentless ever, inevitable that I win.",anger,joy
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,sadness
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
That's an awful miss from Rooney.,fear,sadness
